country_code,indicator_code,indicator_name,year,value
AGO,NY.GDP.PCAP.CD,GDP per capita (current US$),2009,3645.14846565169
AGO,NY.GDP.PCAP.CD,GDP per capita (current US$),2008,4578.15526451058
AGO,NY.GDP.PCAP.CD,GDP per capita (current US$),2007,3515.05678985496
AGO,NY.GDP.PCAP.CD,GDP per capita (current US$),2006,2930.44428606516
AGO,NY.GDP.PCAP.CD,GDP per capita (current US$),2005,2145.88621098663
AGO,NY.GDP.PCAP.CD,GDP per capita (current US$),2004,1451.47117870872
AGO,NY.GDP.PCAP.CD,GDP per capita (current US$),2003,1133.66331960414
AGO,NY.GDP.PCAP.CD,GDP per capita (current US$),2002,999.065855956628
AGO,NY.GDP.PCAP.CD,GDP per capita (current US$),2001,533.586202412447
AGO,NY.GDP.PCAP.CD,GDP per capita (current US$),2000,563.733795571487
ATG,NY.GDP.PCAP.CD,GDP per capita (current US$),2024,23059.8330702839
ATG,NY.GDP.PCAP.CD,GDP per capita (current US$),2023,22012.2625947994
ATG,NY.GDP.PCAP.CD,GDP per capita (current US$),2022,20003.3909394099
ATG,NY.GDP.PCAP.CD,GDP per capita (current US$),2021,17348.6006987182
ATG,NY.GDP.PCAP.CD,GDP per capita (current US$),2020,15369.6082250401
ATG,NY.GDP.PCAP.CD,GDP per capita (current US$),2019,18896.3721832248
ATG,NY.GDP.PCAP.CD,GDP per capita (current US$),2018,18273.4270684912
ATG,NY.GDP.PCAP.CD,GDP per capita (current US$),2017,16965.7288273816
ATG,NY.GDP.PCAP.CD,GDP per capita (current US$),2016,16556.8551801588
ATG,NY.GDP.PCAP.CD,GDP per capita (current US$),2015,16077.6340769406
ATG,NY.GDP.PCAP.CD,GDP per capita (current US$),2014,15532.1062063584
ATG,NY.GDP.PCAP.CD,GDP per capita (current US$),2013,15051.5113587425
ATG,NY.GDP.PCAP.CD,GDP per capita (current US$),2012,15639.8078114787
ATG,NY.GDP.PCAP.CD,GDP per capita (current US$),2011,14911.7275084471
ATG,NY.GDP.PCAP.CD,GDP per capita (current US$),2010,15217.3950790922
ATG,NY.GDP.PCAP.CD,GDP per capita (current US$),2009,16472.2478528568
ATG,NY.GDP.PCAP.CD,GDP per capita (current US$),2008,18786.6743142216
ATG,NY.GDP.PCAP.CD,GDP per capita (current US$),2007,18204.5124043068
ATG,NY.GDP.PCAP.CD,GDP per capita (current US$),2006,16173.8136329968
ATG,NY.GDP.PCAP.CD,GDP per capita (current US$),2005,14368.5708796058
ATG,NY.GDP.PCAP.CD,GDP per capita (current US$),2004,13037.8895772257
ATG,NY.GDP.PCAP.CD,GDP per capita (current US$),2003,12173.2319860305
ATG,NY.GDP.PCAP.CD,GDP per capita (current US$),2002,11658.6949915956
ATG,NY.GDP.PCAP.CD,GDP per capita (current US$),2001,11539.1825063308
ATG,NY.GDP.PCAP.CD,GDP per capita (current US$),2000,12027.4949768222
ARG,NY.GDP.PCAP.CD,GDP per capita (current US$),2024,13969.7836603737
ARG,NY.GDP.PCAP.CD,GDP per capita (current US$),2023,14261.8465667948
ARG,NY.GDP.PCAP.CD,GDP per capita (current US$),2022,13962.1894087223
ARG,NY.GDP.PCAP.CD,GDP per capita (current US$),2021,10738.0179223384
ARG,NY.GDP.PCAP.CD,GDP per capita (current US$),2020,8535.59938004389
ARG,NY.GDP.PCAP.CD,GDP per capita (current US$),2019,9955.97478680428
ARG,NY.GDP.PCAP.CD,GDP per capita (current US$),2018,11752.7998922979
ARG,NY.GDP.PCAP.CD,GDP per capita (current US$),2017,14532.5009308511
ARG,NY.GDP.PCAP.CD,GDP per capita (current US$),2016,12699.9623137756
ARG,NY.GDP.PCAP.CD,GDP per capita (current US$),2015,13679.6264980954
ARG,NY.GDP.PCAP.CD,GDP per capita (current US$),2014,12233.1444119186
ARG,NY.GDP.PCAP.CD,GDP per capita (current US$),2013,12963.675773326
ARG,NY.GDP.PCAP.CD,GDP per capita (current US$),2012,12949.717486654
ARG,NY.GDP.PCAP.CD,GDP per capita (current US$),2011,12704.2831819684
ARG,NY.GDP.PCAP.CD,GDP per capita (current US$),2010,10260.1313108254
ARG,NY.GDP.PCAP.CD,GDP per capita (current US$),2009,8150.23527028221
ARG,NY.GDP.PCAP.CD,GDP per capita (current US$),2008,8944.1102657357
ARG,NY.GDP.PCAP.CD,GDP per capita (current US$),2007,7185.25155147027
ARG,NY.GDP.PCAP.CD,GDP per capita (current US$),2006,5869.38028970204
ARG,NY.GDP.PCAP.CD,GDP per capita (current US$),2005,5067.65342293276
ARG,NY.GDP.PCAP.CD,GDP per capita (current US$),2004,4242.02099089422
ARG,NY.GDP.PCAP.CD,GDP per capita (current US$),2003,3320.47775133903
ARG,NY.GDP.PCAP.CD,GDP per capita (current US$),2002,2569.69963519124
ARG,NY.GDP.PCAP.CD,GDP per capita (current US$),2001,7141.47507662826
ARG,NY.GDP.PCAP.CD,GDP per capita (current US$),2000,7637.01489203628
