"country_name","region","income_group","life_expectancy_2000","life_expectancy_2024","life_expectancy_improvement","under5_mortality_reduction"
"Somalia, Fed. Rep.","Sub-Saharan Africa ","Low income",50.75,58.97,8.22,72.10
"Peru","Latin America & Caribbean ","Upper middle income",69.82,77.94,8.12,25.40
"Cabo Verde","Sub-Saharan Africa ","Upper middle income",68.12,76.22,8.11,24.90
"Comoros","Sub-Saharan Africa ","Lower middle income",58.94,67.02,8.08,40.90
"Nepal","South Asia","Lower middle income",62.64,70.64,7.99,53.60
"Russian Federation","Europe & Central Asia","High income",65.48,73.44,7.96,14.20
"South Africa","Sub-Saharan Africa ","Upper middle income",58.37,66.31,7.94,36.30
"Kenya","Sub-Saharan Africa ","Lower middle income",56.08,63.83,7.75,56.40
"Korea, Rep.","East Asia & Pacific","High income",75.91,83.63,7.72,4.80
"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan","Upper middle income",70.17,77.85,7.69,25.10
"Mauritania","Sub-Saharan Africa ","Lower middle income",61.04,68.71,7.67,61.10
"Sudan","Sub-Saharan Africa ","Low income",58.95,66.52,7.58,40.40
"Iraq","Middle East, North Africa, Afghanistan & Pakistan","Upper middle income",64.86,72.42,7.56,22.50
"Ghana","Sub-Saharan Africa ","Lower middle income",58.14,65.70,7.56,64.00
"Nigeria","Sub-Saharan Africa ","Lower middle income",47.14,54.64,7.49,61.70
"Chad","Sub-Saharan Africa ","Low income",47.94,55.24,7.30,85.10
"Qatar","Middle East, North Africa, Afghanistan & Pakistan","High income",75.25,82.52,7.27,6.60
"Uzbekistan","Europe & Central Asia","Lower middle income",65.46,72.53,7.07,47.30
"Colombia","Latin America & Caribbean ","Upper middle income",70.91,77.91,7.01,13.50
"Haiti","Latin America & Caribbean ","Lower middle income",58.18,65.12,6.94,50.10
"Ukraine","Europe & Central Asia","Upper middle income",67.79,74.69,6.91,10.30
"Kosovo","Europe & Central Asia","Upper middle income",71.32,78.22,6.90,39.70
"Slovenia","Europe & Central Asia","High income",75.41,82.29,6.87,3.10
"Bahrain","Middle East, North Africa, Afghanistan & Pakistan","High income",74.67,81.42,6.75,3.70
"Myanmar","East Asia & Pacific","Lower middle income",60.36,67.10,6.74,52.00
"United Arab Emirates","Middle East, North Africa, Afghanistan & Pakistan","High income",76.35,83.07,6.72,5.90
"Gabon","Sub-Saharan Africa ","Upper middle income",61.81,68.51,6.70,40.70
"Bolivia","Latin America & Caribbean ","Lower middle income",62.06,68.74,6.68,55.00
"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan","Low income",62.76,69.44,6.68,54.80
"Oman","Middle East, North Africa, Afghanistan & Pakistan","High income",73.64,80.25,6.60,6.20
"Sri Lanka","South Asia","Upper middle income",71.18,77.67,6.49,10.40
"Ireland","Europe & Central Asia","High income",76.54,83.01,6.47,3.30
"Brazil","Latin America & Caribbean ","Upper middle income",69.58,76.02,6.44,20.20
"Saudi Arabia","Middle East, North Africa, Afghanistan & Pakistan","High income",72.61,78.98,6.38,15.90
"Panama","Latin America & Caribbean ","High income",73.44,79.78,6.33,10.40
"Guyana","Latin America & Caribbean ","High income",64.08,70.32,6.24,21.50
"Croatia","Europe & Central Asia","High income",72.81,78.93,6.12,2.70
"Latvia","Europe & Central Asia","High income",70.31,76.43,6.11,11.80
"Portugal","Europe & Central Asia","High income",76.31,82.38,6.07,4.00
"Jordan","Middle East, North Africa, Afghanistan & Pakistan","Upper middle income",71.93,77.98,6.06,12.90
